congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954,,0.936,-0.352,-12.02452,0.89179,105,3,,0.691,0.258
118,Senate,42300,41,0,AL,200,,,"BRITT, Katie Boyd",B001319,1982,,0.582,0.813,-4.02996,0.96403,110,1,,0.582,0.813
118,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.211,-0.305,-22.11705,0.81326,107,10,,0.215,-0.316
118,Senate,41500,81,0,AK,200,,,"SULLIVAN, Dan",S001198,1964,,0.485,0.079,-20.01378,0.82941,107,9,,0.472,0.487
118,Senate,41905,61,0,AZ,100,,,"KELLY, Mark",K000377,1964,,-0.182,0.299,-10.25482,0.9061,104,4,,-0.428,0.312
118,Senate,91300,61,0,AZ,328,,,"SINEMA, Kyrsten",S001191,1976,,-0.417,0.588,-8.26922,0.92758,110,3,,-0.416,0.591
118,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.425,0.331,-13.38496,0.8864,111,2,,0.362,0.609
118,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.604,0.141,-13.65862,0.88222,109,6,,0.534,0.276
118,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973,,-0.407,-0.373,-1.4235,0.98666,106,1,,-0.327,-0.366
118,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.183,-0.01964,0.99907,21,0,,-0.108,-0.438
118,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.23,-0.169,-5.94234,0.94787,111,1,,-0.467,0.291
118,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John W.",H000273,1952,,-0.241,-0.064,-5.39393,0.95257,111,1,,-0.467,0.291
118,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.271,-0.198,-6.02236,0.94719,111,2,,-0.561,0.199
118,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.435,-0.169,-1.38885,0.98757,111,0,,-0.325,-0.373
